Code,Name,Course Type
ISC202,Science II,UG3
ICS211,Algorithms ,UG2
CSE371,Artificial Intelligence ,UG2
ECE335,Communication Theory I,UG2
ICS251,Computer Networks,UG2
IEC239,Digital Signal Analysis and Applications,UG2
ECE341,Digital Signal Processing ,UG2
ECE260,Electrical Science II,UG2
ECE291,Electronics Workshop II ,UG2
ECE225,Embedded Hardware Design,UG2
IEG201,Engineering Systems,UG2
CSE311,Formal Methods ,UG2
CSE251,Graphics ,UG2
IHS107,Human Values II,UG2
IHS201,Humanities ,UG2
ECE361,Intro to VLSI,UG2
ICS241,Introduction to Databases,UG2
ECE205,Linear Electronic Circuits,UG2
ICS231,Operating Systems ,UG2
ECE230,Probability & Random Processes,UG2
ISC201,Science I,UG2
ECE241,Signals and Systems,UG2
ICS261,SSAD & Project,UG2
H9991,Art and Craft,UG1
H9997,Art and Medium,UG1
IEC103,Basic Electronic Circuits,UG1
ICS101,Computer Programming ,UG1
ICS104,Computer System Organization,UG1
H9993,Creative Movement ,UG1
ICS103,Data Structures ,UG1
IEC101,Digital Logic and Processors,UG1
IEC102,Electrical Science I,UG1
IEC104,Electronics Workshop I,UG1
IHS101,English I,UG1
IHS102,English II,UG1
IHS103,Human Values I,UG1
ICS102,IT Workshop I,UG1
ICS105,IT Workshop II,UG1
IMA101,Mathematics I,UG1
IMA102,Mathematics II,UG1
H9992,Painting and Folk Art,UG1
H9996,Photography and Film,UG1
H9995,Site and Art,UG1
CSE603,Advanced Problem Solving ,PG1
CSE611,Discrete Maths and Algorithms,PG1
CSE531,Operating Systems (PG),PG1
CSE505,Scripting and Computer Environments,PG1
CEA611,Theory of Elasticity,PG1
IMA201,Mathematics III,UG2
CSE435,Advanced Computer Networks,BC
CSE419,Compilers ,BC
CSE411,Complexity and Advanced Algorithms,BC
CSE441,Database Systems ,BC
CSE431,Distributed Systems,BC
CSE481,Optimization Methods,BC
CSE415,Principles of Programming Languages ,BC
CSE461,Software Engineering,BC
CSE471,Statistical Methods in AI,BC
CSE662,A Systems View of Business,Elective
ECE441,Adaptive Signal Processing ,Elective
CEA711,Adv. Mechanics of Materials,Elective
SCI652,Advanced Bioinformatics ,Elective
SCI421,Advanced Biology(Cellular/Molecular/Genetic),Elective
SCI541,Advanced Biomolecular Architecture,Elective
CSE519,Advanced Compilers,Elective
CES625,Advanced Reinforce Concrete Design,Elective
CSE561,Advanced Software Engineering,Elective
CES626,Advanced Steel Design,Elective
CES611,Advanced Structural Analysis,Elective
HSS601,Advanced Topics in Humanities,Elective
CEG561,Advanced Topics in Remote Sensing,Elective
CSE545,Advances in Data Mining,Elective
CSE541,Advances in Database Systems,Elective
HSS330,Aesthetics Narrative and Design,Elective
AGR588,Agricultural Marketing,Elective
CEG411,Agricultural Production Economics,Elective
ICS331,Algorithms and Operating Systems,Elective
SCI461,Algorithms used in Scientific Simulations,Elective
ECE461,Analog and Mixed Signal Design,Elective
AGR587,Applied Agricultural Workshop II,Elective
