Code,Name,Timings,Room No
SCI421,Advanced Biology(Cellular/Molecular/Genetic),Sat:11.30-12.55,102
,,Thu:11.30-12.55,102
SCI541,Advanced Biomolecular Architecture,Sat:10.00-11.25,201
,,Wed:10.00-11.25,201
CSE435,Advanced Computer Networks,Mon:08.30-09.55,SH2
,,Thu:08.30-09.55,SH2
CSE603,Advanced Problem Solving,Fri:11.00-13.00,N104
,,Tue:11.00-13.00,N104
CES625,Advanced Reinforce Concrete Design,Mon:14.00-15.25,N104
,,Thu:14.00-15.25,N104
CEG561,Advanced Topics in Remote Sensing,Mon:14.00-15.25,104
,,Thu:14.00-15.25,104
CSE545,Advances in Data Mining,Mon:14.00-15.25,201
,,Thu:14.00-15.25,201
ICS211,Algorithms,Sat:10.00-11.25,SH2
,,Wed:10.00-11.25,SH2
ICS331,Algorithms and Operating Systems,Sat:14.00-15.25,CR1
,,Wed:14.00-15.25,CR1
ECE461,Analog and Mixed Signal Design,Mon:14.00-15.25,103
,,Thu:14.00-15.25,103
CLG611,Basic Maths I,Mon:10.00-11.25,102
,,Thu:10.00-11.25,102
SCI643,Biomolecular Structure Interaction and Dynamics,Fri:08.30-09.55,103
,,Tue:08.30-09.55,103
SCI644,Biomolecular Structure and Supramolecular Chemistry,Mon:10.00-11.25,201
,,Thu:10.00-11.25,201
ECE530,Broadband Networks,Sat:11.30-12.55,CR1
,,Wed:11.30-12.55,CR1
CEG421,Building Energy Simulation,Mon:10.00-11.25,103
,,Thu:10.00-11.25,103
CES634,CASE Workshop,Mon:10.00-11.25,203
,,Thu:10.00-11.25,203
ECE467,CMOS Radio Frequencey Integrated Circuit Design,Sat:11.30-12.55,203
,,Wed:11.30-12.55,203
SCI373,CNS Lab,Thu:14.00-17.00,
SCI311,Chemical Basis of Everyday Phenomena,Fri:08.30-09.55,104
,,Tue:08.30-09.55,104
HSS342,Classical Language: Sanskrit II,Sat:08.30-09.55,CR1
,,Wed:08.30-09.55,CR1
HSS422,Classical Text Reading,Fri:11.30-12.55,201
,,Tue:11.30-12.55,201
CSE565,Cloud Computing,Sat:08.30-09.55,SH2
,,Wed:08.30-09.55,SH2
ECE436,Communication Theory II,Sat:11.30-12.55,202
,,Wed:11.30-12.55,202
CSE419,Compilers,Fri:08.30-09.55,SH2
,,Tue:08.30-09.55,SH2
CSE411,Complexity and Advanced Algorithms,Sat:11.30-12.55,204
,,Wed:11.30-12.55,204
